,start_time,end_time,value
0,2022-11-04T00:00:00+0000,2022-11-04T01:00:00+0000,7133.621732
1,2022-11-04T01:00:00+0000,2022-11-04T02:00:00+0000,7145.460526
2,2022-11-04T02:00:00+0000,2022-11-04T03:00:00+0000,7128.031208
3,2022-11-04T03:00:00+0000,2022-11-04T04:00:00+0000,7174.10794
4,2022-11-04T04:00:00+0000,2022-11-04T05:00:00+0000,7524.426376
5,2022-11-04T05:00:00+0000,2022-11-04T06:00:00+0000,7861.519182
6,2022-11-04T06:00:00+0000,2022-11-04T07:00:00+0000,8071.663961
7,2022-11-04T07:00:00+0000,2022-11-04T08:00:00+0000,8227.367793
8,2022-11-04T08:00:00+0000,2022-11-04T09:00:00+0000,8121.299242
9,2022-11-04T09:00:00+0000,2022-11-04T10:00:00+0000,7995.432192
10,2022-11-04T10:00:00+0000,2022-11-04T11:00:00+0000,7980.893522
11,2022-11-04T11:00:00+0000,2022-11-04T12:00:00+0000,7863.196887
12,2022-11-04T12:00:00+0000,2022-11-04T13:00:00+0000,7880.39299
13,2022-11-04T13:00:00+0000,2022-11-04T14:00:00+0000,7934.14238
14,2022-11-04T14:00:00+0000,2022-11-04T15:00:00+0000,8118.175019
15,2022-11-04T15:00:00+0000,2022-11-04T16:00:00+0000,8196.527458
16,2022-11-04T16:00:00+0000,2022-11-04T17:00:00+0000,8302.753054
17,2022-11-04T17:00:00+0000,2022-11-04T18:00:00+0000,8259.646099
18,2022-11-04T18:00:00+0000,2022-11-04T19:00:00+0000,7864.550341
19,2022-11-04T19:00:00+0000,2022-11-04T20:00:00+0000,7319.301984
20,2022-11-04T20:00:00+0000,2022-11-04T21:00:00+0000,7407.315744
21,2022-11-04T21:00:00+0000,2022-11-04T22:00:00+0000,7236.106585
22,2022-11-04T22:00:00+0000,2022-11-04T23:00:00+0000,6938.887438
23,2022-11-04T23:00:00+0000,2022-11-05T00:00:00+0000,6735.788951
24,2022-11-05T00:00:00+0000,2022-11-05T01:00:00+0000,6647.833664
