"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+02:00","Lopetusaika UTC+02:00","Sähköntuotantoennuste - päivittyvä tuntienergiatieto"
"2020-12-31 22:00:00","2020-12-31 23:00:00","2021-01-01 00:00:00","2021-01-01 01:00:00","7336.208778"
"2020-12-31 23:00:00","2021-01-01 00:00:00","2021-01-01 01:00:00","2021-01-01 02:00:00","7205.108122"
"2021-01-01 00:00:00","2021-01-01 01:00:00","2021-01-01 02:00:00","2021-01-01 03:00:00","7066.80157"
"2021-01-01 01:00:00","2021-01-01 02:00:00","2021-01-01 03:00:00","2021-01-01 04:00:00","6977.176273"
"2021-01-01 02:00:00","2021-01-01 03:00:00","2021-01-01 04:00:00","2021-01-01 05:00:00","7080.673363"
"2021-01-01 03:00:00","2021-01-01 04:00:00","2021-01-01 05:00:00","2021-01-01 06:00:00","7040.936675"
"2021-01-01 04:00:00","2021-01-01 05:00:00","2021-01-01 06:00:00","2021-01-01 07:00:00","7097.091397"
"2021-01-01 05:00:00","2021-01-01 06:00:00","2021-01-01 07:00:00","2021-01-01 08:00:00","7231.196011"
"2021-01-01 06:00:00","2021-01-01 07:00:00","2021-01-01 08:00:00","2021-01-01 09:00:00","7386.383069"
"2021-01-01 07:00:00","2021-01-01 08:00:00","2021-01-01 09:00:00","2021-01-01 10:00:00","7397.962147"
"2021-01-01 08:00:00","2021-01-01 09:00:00","2021-01-01 10:00:00","2021-01-01 11:00:00","7495.802978"
"2021-01-01 09:00:00","2021-01-01 10:00:00","2021-01-01 11:00:00","2021-01-01 12:00:00","7633.133373"
"2021-01-01 10:00:00","2021-01-01 11:00:00","2021-01-01 12:00:00","2021-01-01 13:00:00","7584.846445"
"2021-01-01 11:00:00","2021-01-01 12:00:00","2021-01-01 13:00:00","2021-01-01 14:00:00","7586.796983"
"2021-01-01 12:00:00","2021-01-01 13:00:00","2021-01-01 14:00:00","2021-01-01 15:00:00","7663.257423"
"2021-01-01 13:00:00","2021-01-01 14:00:00","2021-01-01 15:00:00","2021-01-01 16:00:00","7778.312816"
"2021-01-01 14:00:00","2021-01-01 15:00:00","2021-01-01 16:00:00","2021-01-01 17:00:00","7917.232544"
"2021-01-01 15:00:00","2021-01-01 16:00:00","2021-01-01 17:00:00","2021-01-01 18:00:00","8126.651938"
"2021-01-01 16:00:00","2021-01-01 17:00:00","2021-01-01 18:00:00","2021-01-01 19:00:00","8171.441064"
"2021-01-01 17:00:00","2021-01-01 18:00:00","2021-01-01 19:00:00","2021-01-01 20:00:00","8039.295688"
"2021-01-01 18:00:00","2021-01-01 19:00:00","2021-01-01 20:00:00","2021-01-01 21:00:00","7963.858277"
"2021-01-01 19:00:00","2021-01-01 20:00:00","2021-01-01 21:00:00","2021-01-01 22:00:00","7575.8806"
